"";"x"
"1";1576723453,42399
"2";1576723453,42399
"3";1576723455,41974
"4";1,99575400352478
"5";10346
"6";1576723753,75869
"7";1576723753,75869
"8";1576723757,17487
"9";3,41618490219116
"10";20000
"11";1576723753,75869
"12";1576723757,17585
"13";1576723761,05355
"14";3,8776969909668
"15";19999
"16";1576723753,75869
"17";1576723761,05355
"18";1576723761,42056
"19";0,367012977600098
"20";1385
"21";1576724054,13304
"22";1576724054,13304
"23";1576724057,86625
"24";3,73320698738098
"25";20000
"26";1576724054,13304
"27";1576724057,86725
"28";1576724062,29757
"29";4,43032598495483
"30";19107
"31";1576724354,47791
"32";1576724354,47791
"33";1576724359,48608
"34";5,00816607475281
"35";20000
"36";1576724354,47791
"37";1576724359,48608
"38";1576724362,98742
"39";3,50133895874023
"40";19654
"41";1576724654,83399
"42";1576724654,83399
"43";1576724658,45972
"44";3,62573599815369
"45";20000
"46";1576724654,83399
"47";1576724658,45972
"48";1576724661,76214
"49";3,30241584777832
"50";19999
"51";1576724654,83399
"52";1576724661,76314
"53";1576724662,23715
"54";0,474004983901978
"55";2164
"56";1576724955,19208
"57";1576724955,19208
"58";1576724959,49147
"59";4,29938888549805
"60";19997
"61";1576724955,19208
"62";1576724959,49147
"63";1576724963,23088
"64";3,73941493034363
"65";19998
"66";1576724955,19208
"67";1576724963,23189
"68";1576724963,58188
"69";0,349982023239136
"70";903
"71";1576725255,55364
"72";1576725255,55364
"73";1576725259,45652
"74";3,90288686752319
"75";20000
"76";1576725255,55364
"77";1576725259,45752
"78";1576725263,17763
"79";3,72010898590088
"80";19980
"81";1576725255,55364
"82";1576725263,17862
"83";1576725263,53662
"84";0,357998132705688
"85";1433
"86";1576725555,90576
"87";1576725555,90576
"88";1576725559,23846
"89";3,33270001411438
"90";20000
"91";1576725555,90576
"92";1576725559,23846
"93";1576725563,38732
"94";4,14885401725769
"95";19996
"96";1576725555,90576
"97";1576725563,38832
"98";1576725563,67931
"99";0,290995836257935
"100";770
"101";1576725856,23731
"102";1576725856,23731
"103";1576725860,26545
"104";4,02813601493835
"105";20000
"106";1576725856,23731
"107";1576725860,26545
"108";1576725862,06445
"109";1,79900097846985
"110";8657
"111";1576726156,5702
"112";1576726156,5702
"113";1576726161,02162
"114";4,45142197608948
"115";20000
"116";1576726156,5702
"117";1576726161,02162
"118";1576726163,71962
"119";2,69800090789795
"120";13665
"121";1576726456,92029
"122";1576726456,92029
"123";1576726459,95925
"124";3,03896903991699
"125";20000
"126";1576726456,92029
"127";1576726459,95925
"128";1576726463,42606
"129";3,46680903434753
"130";19983
"131";1576726456,92029
"132";1576726463,42606
"133";1576726463,97708
"134";0,551017045974731
"135";2331
"136";1576726757,26056
"137";1576726757,26056
"138";1576726761,56853
"139";4,30797791481018
"140";20000
"141";1576726757,26056
"142";1576726761,56853
"143";1576726764,97576
"144";3,40723204612732
"145";19984
"146";1576726757,26056
"147";1576726764,97576
"148";1576726765,96782
"149";0,992053031921387
"150";5546
"151";1576727057,59633
"152";1576727057,59633
"153";1576727060,88945
"154";3,29311895370483
"155";20000
"156";1576727057,59633
"157";1576727060,88945
"158";1576727061,11343
"159";0,223980188369751
"160";411
"161";1576727357,94025
"162";1576727357,94025
"163";1576727361,27334
"164";3,33308506011963
"165";19997
"166";1576727357,94025
"167";1576727361,27434
"168";1576727364,35348
"169";3,07914400100708
"170";15724
"171";1576727658,28107
"172";1576727658,28107
"173";1576727662,46919
"174";4,1881148815155
"175";20000
"176";1576727658,28107
"177";1576727662,46919
"178";1576727665,92345
"179";3,45426511764526
"180";18938
"181";1576727958,6212
"182";1576727958,6212
"183";1576727962,51765
"184";3,89645099639893
"185";20000
"186";1576727958,6212
"187";1576727962,51863
"188";1576727965,70787
"189";3,18924307823181
"190";19512
"191";1576728258,96018
"192";1576728258,96018
"193";1576728262,54876
"194";3,58858609199524
"195";20000
"196";1576728258,96018
"197";1576728262,54876
"198";1576728265,46002
"199";2,91125392913818
"200";19547
"201";1576728559,31377
"202";1576728559,31377
"203";1576728562,64778
"204";3,33400177955627
"205";20000
"206";1576728559,31377
"207";1576728562,64778
"208";1576728566,25735
"209";3,60957813262939
"210";19980
"211";1576728559,31377
"212";1576728566,25735
"213";1576728566,49036
"214";0,233001947402954
"215";485
"216";1576728859,64984
"217";1576728859,64984
"218";1576728863,85157
"219";4,2017240524292
"220";20000
"221";1576728859,64984
"222";1576728863,85257
"223";1576728866,96818
"224";3,11560678482056
"225";19995
"226";1576728859,64984
"227";1576728866,96818
"228";1576728869,46649
"229";2,49830913543701
"230";16063
"231";1576729159,97364
"232";1576729159,97364
"233";1576729163,13269
"234";3,1590530872345
"235";20000
"236";1576729159,97364
"237";1576729163,13269
"238";1576729166,01677
"239";2,88407206535339
"240";18533
"241";1576729460,30576
"242";1576729460,30576
"243";1576729464,29626
"244";3,9905059337616
"245";20000
"246";1576729460,30576
"247";1576729464,29728
"248";1576729465,85885
"249";1,56157493591309
"250";7623
"251";1576729760,64117
"252";1576729760,64117
"253";1576729764,30602
"254";3,66484403610229
"255";20000
"256";1576729760,64117
"257";1576729764,30602
"258";1576729767,15302
"259";2,84700298309326
"260";12855
"261";1576730060,98381
"262";1576730060,98381
"263";1576730064,52295
"264";3,53914213180542
"265";20000
"266";1576730060,98381
"267";1576730064,52295
"268";1576730068,39092
"269";3,86796593666077
"270";20000
"271";1576730060,98381
"272";1576730068,39092
"273";1576730068,9789
"274";0,587979078292847
"275";2913
"276";1576730361,32687
"277";1576730361,32687
"278";1576730365,29265
"279";3,96577978134155
"280";19999
"281";1576730361,32687
"282";1576730365,29265
"283";1576730369,38223
"284";4,08958101272583
"285";19989
"286";1576730361,32687
"287";1576730369,38223
"288";1576730370,82661
"289";1,44438314437866
"290";8022
"291";1576730661,65858
"292";1576730661,65858
"293";1576730664,63376
"294";2,97518515586853
"295";20000
"296";1576730661,65858
"297";1576730664,63376
"298";1576730667,61431
"299";2,98054981231689
"300";19980
"301";1576730661,65858
"302";1576730667,61531
"303";1576730668,42032
"304";0,805007934570312
"305";4646
"306";1576730962,00017
"307";1576730962,00017
"308";1576730964,61808
"309";2,61791205406189
"310";12785
"311";1576731262,34397
"312";1576731262,34397
"313";1576731265,79988
"314";3,45590591430664
"315";20000
"316";1576731262,34397
"317";1576731265,80088
"318";1576731269,32045
"319";3,51957106590271
"320";19101
"321";1576731562,6726
"322";1576731562,6726
"323";1576731566,39922
"324";3,72661900520325
"325";20000
"326";1576731562,6726
"327";1576731566,39922
"328";1576731569,72753
"329";3,32830905914307
"330";19998
"331";1576731562,6726
"332";1576731569,72753
"333";1576731569,9425
"334";0,214978933334351
"335";463
"336";1576731863,01846
"337";1576731863,01846
"338";1576731866,82791
"339";3,80945110321045
"340";20000
"341";1576731863,01846
"342";1576731866,82891
"343";1576731870,2935
"344";3,46459293365479
"345";19995
"346";1576731863,01846
"347";1576731870,2935
"348";1576731870,75651
"349";0,463000059127808
"350";1976
"351";1576732163,36268
"352";1576732163,36268
"353";1576732166,93894
"354";3,57625818252563
"355";20000
"356";1576732163,36268
"357";1576732166,93894
"358";1576732170,33213
"359";3,39319181442261
"360";18358
"361";1576732463,70836
"362";1576732463,70836
"363";1576732467,63231
"364";3,9239490032196
"365";19896
"366";1576732463,70836
"367";1576732467,63231
"368";1576732470,94797
"369";3,31565809249878
"370";19989
"371";1576732463,70836
"372";1576732470,94897
"373";1576732471,27795
"374";0,328984022140503
"375";1435
"376";1576732764,0416
"377";1576732764,0416
"378";1576732768,14685
"379";4,10525298118591
"380";19986
"381";1576732764,0416
"382";1576732768,14783
"383";1576732772,15238
"384";4,00454711914062
"385";19428
"386";1576733064,38985
"387";1576733064,38985
"388";1576733067,82168
"389";3,43182587623596
"390";20000
"391";1576733064,38985
"392";1576733067,82268
"393";1576733069,87171
"394";2,04902696609497
"395";10620
"396";1576733364,73849
"397";1576733364,73849
"398";1576733369,07915
"399";4,34065508842468
"400";20000
"401";1576733364,73849
"402";1576733369,08016
"403";1576733371,64915
"404";2,56898713111877
"405";12016
"406";1576733665,08085
"407";1576733665,08085
"408";1576733668,40242
"409";3,3215651512146
"410";20000
"411";1576733665,08085
"412";1576733668,40242
"413";1576733671,76936
"414";3,36694192886353
"415";19992
"416";1576733665,08085
"417";1576733671,77035
"418";1576733672,40935
"419";0,638999938964844
"420";2694
"421";1576733965,4234
"422";1576733965,4234
"423";1576733968,72368
"424";3,30027890205383
"425";20000
"426";1576733965,4234
